,Description,Platform,Price,Product
0,"Meet Outlook for Android, the app that helps millions of users connect all their email accounts, calendars and files in one convenient spot.",Android,Free,Microsoft Outlook
1,Make the most of every day with the official Google Calendar.,Android,Free,Google Calendar
2,"Bring teams, content, and tools together within globally connected collaboration workspace for media.
",Android,Free,Dropbox
3,Get more done with Any.do.,Android,Free,"Any.do: To-do list, Calendar, Reminders & Planner"
4,Create and manage to-do lists on Android devices.,Android,Free,"Todoist: To-Do List, Tasks & Reminders"
5,Bring your office with you and stay productive wherever you go.,Android,Free,OfficeSuite
6,Over 1.3 billion downloads.,Android,Free,"WPS Office - Word, Docs, PDF, Note, Slide & Sheet"
7,"Create documents, spreadsheets, and presentations with Microsoft's productivity suite.",Windows,Free to try,Microsoft Office Professional Plus 2013
8,"Create professional content with the Word, PowerPoint, Excel and Outlook suite.",Mac,$139.99,Microsoft Office 2011
9,"Manage your wide range of projects and programs by meeting crucial deadlines, selecting the right resources, and empowering your teams.",Windows,$940.00,Microsoft Project Professional 2016 (64-Bit)
10,"Provide Word, Excel, PowerPoint and Entourage suite.",Mac,Purchase,Microsoft Office 2008 update
11,"Track, report, and share vital information to reduce costs and increase productivity with improved communication.",Windows,Free to try,Microsoft Office Professional Plus 2010 (64-bit)
12,Power up your project management.,Windows,Free to try,Microsoft Office Project Standard 2007
13,View and print PowerPoint presentations.,Windows,Free,PowerPoint Viewer 2007
14,"Open, edit, and save files using the new file formats in 2007 versions of Word, Excel, and PowerPoint.",Windows,Free,"Microsoft Office Compatibility Pack for Word, Excel, and PowerPoint File Formats"
15,"Share charts, models, data diagrams, and visualization tools and templates across your business.",Windows,Free to try,Microsoft Visio Premium 2010
16,"Share charts, models, data diagrams, and visualization tools and templates across your business divisions.",Windows,Free to try,Microsoft Visio Premium 2010 (64-bit)
17,"Create, manage, and collaborate with others on presentations.",Windows,Free to try,Microsoft Office PowerPoint 2010
18,"Create and format spreadsheets, analyze and share information to make more informed decisions. ",Windows,$109.99,Microsoft Excel 2007
19,Track packages without entering a tracking number.,Android,Free,Slice: Package Tracker
20,Compile a beautiful and simple grocery list.,Android,Free,Bring Shopping List
21,Get an online shopping marketplace at your fingertips.,Android,Free,"AliExpress - Smarter Shopping, Better Living"
22,"Shop our global marketplace of handmade, vintage and creative goods.",Android,Free,Etsy: Handmade & Vintage Goods
23,Discover & buy amazing things and get credit for sharing.,Android,Free,Fancy
24,Experience the Overstock.com shopping app.,Android,Free,Overstock - Shopping App
25,"Access, manage, and share your local and remote files with ease.",Android,Free,File Commander - File Manager/Explorer
26,Square Point of Sale (formerly Register) is the free point-of-sale app that gives you everything you need to run and grow your business.,iOS,Free,Square Point of Sale - POS System (Register)
27,The best email app for the iPhone.,iOS,Free,Microsoft Outlook
28,"Get to and share your documents, photos, and other files from your iOS device.",iOS,Free,Microsoft OneDrive
29,"Hotspot Shield VPN is the World's most trusted security, privacy and access app.",iOS,Free,HotspotShield VPN Unlimited Privacy Security Proxy
30,DocuSign is the easiest and most secure way to sign and get documents signed from your iPhone or iPad.,iOS,Free,DocuSign - Upload & Sign Docs
31,Communicate with your team and organize your conversations.,iOS,Free,Slack
32,update documents & share your files,Windows,Free,FolderShare
