,Description,Platform,Price,Product
0,Communicate with your team and organize your conversations.,iOS,Free,Slack
1,CppCode - offline C/C++ IDE & Compiler:* compile C and C++ code offline (no internet connection required)* built-in libc and libc++ (no 3rd-party...,iOS,Free,CppCode - offline C/C++ IDE & Compiler
2,"Sourcery allows you to view the source code of web pages (HTML, CSS and JavaScript) while browsing in Safari and other web browsers. You can...",iOS,$1.99,"Sourcery - View HTML, JavaScript and CSS Source Extension and App"
3,A launch pad for developers to test and promote new features.******************************************************* This open source app was...,iOS,Free,Open Source
4, Appium Web Coding Share Show Cool QQ 315508626githubhttps://github.com/jimneylee/JLRubyChina-iPhone fork&pull request,iOS,Free,Tester Home
5,"Swift Modules is an open and searchable index of Swift Package Manager modules. Swift version 3, currently in beta, introduced the Swift Package...",iOS,Free,Swift Modules
6,Communicate with your team and organize your conversations by topics.,Mac,Free,Slack
7,"Powerful general purpose text editor, and Unix and server administrator's tool.",Mac,Free,TextWrangler
8,Communicate with your team and organize your conversations.,Android,Free,Slack
9,"Edit plain text files, HTML documents, PHP, and Java code.",Windows,Free to try,EditPlus
10,Advertise features of a program on installation and allow users the option to install only specific features on demand.,Windows,Free,Windows Installer (Windows 95/98/Me)
11,Create and upload a professional Web page without dealing with HTML.,Windows,Free to try,Web Page Maker
12,"Create, edit, and publish your Web pages.",Windows,Free,HTML-Kit
13,Enable universal data access for your Windows-family operating system.,Windows,Free,Microsoft Data Access Components (MDAC)
14,Use this JDK from Sun to develop and deploy your Java applications.  ,Windows,Free,"Java 2 Platform, Standard Edition (J2SE) Development Kit (JDK) 5.0"
15,Decompile Java class files and save them in text or other formats.,Windows,Free to try,DJ Java Decompiler
16,Use this full-featured text editor to create and store documents.,Windows,Free to try,TextPad
17,Get help while building Web sites.,Windows,Free,Microsoft FrontPage 2003 SP3
18,Enable your applications to create and decompress RAR archives.,Windows,Free,Unique RAR File Library
19,Compile C/C++ code for free.,Windows,Free,Orwell Dev-C++
20,"Edit text, HTML, or hex code with comprehensive support for programmer's needs.",Windows,Free to try,UltraEdit
21,"Host a site with an easy-to-use Web server supporting HTTPS, PHP, and CGI/Perl.",Windows,Free,Abyss Web Server X1
22,Edit almost any file in a multimodule hex editor.,Windows,Free to try,Hackman Suite
23,"Design, edit, and browse HTML pages.",Windows,Free to try,HomeSite
24,Manage business MySQL database applications.,Windows,Free,MySQL Database Server
