,Description,Platform,Price,Product
0,Drop in and join millions of players in an open map battle royale game.,Windows,Free,Fortnite
1,Build anything you can imagine with blocks.,Windows,Free to try,Minecraft
2,Enjoy the sixth installment of the classic 4X game and build an empire to stand the test of time.,Windows,$59.99,Sid Meier's Civilization VI
3,Join one of the largest video game distribution platforms with millions of users worldwide.,Windows,Free,Steam
4,Engage your enemies in iconic locations from around the globe in the ultimate team-based shooter.,Windows,$39.99,Overwatch
5,Respond to an emergency distress call from the last safe city on Earth...,Windows,Free,Destiny 2
6,"Enter a hectic battlefield of up to 64 players as a mercenary in a fictional, but realistic medieval world.",Windows,$29.99,Mordhau
7,"Play great PC games and connect with your friends, all in one place.",Windows,Free,Origin Client
8,Try several aircraft in the tenth iteration of Microsoft's acclaimed flight sim.,Windows,Free to try,Flight Simulator X demo
9,Open your gateway to all things Blizzard.,Windows,Free,Blizzard Battle.Net Desktop App
10,Feature updates and fixes for the original Age of Empires II. ,Windows,Free,Age of Empires II Update
11,Fight for humanity against an alien onslaught.,Windows,Free to try,Halo: Combat Evolved
12,"Fall in love with the classic Age of Empires II experience, now with high definition graphics.",Windows,Free to try,Age of Empires II HD
13,Play as the British or Spanish in New England or Texas.,Windows,Free to try,Age of Empires III
14,Explore infinite worlds and build everything from the simplest of homes to the grandest of castles.,Android,$6.99,Minecraft
15,"Connect with other Trainers, discover and capture amazing Pokemon all around you.",Android,Free,Pokemon GO
16,Join Alto and his friends as they embark on an endless snowboarding odyssey.,Android,Free,Alto's Adventure
17,"Collect powerful cards and create mighty decks, summon minions and sling spells to control an ever-shifting battlefield.",Android,Free,Hearthstone
18,"Fight for survival, fortune, and glory, or construct your own city.",Android,$4.99,Terraria
19,"Manage limited resources and survive five nights, while being stalked by malicious robots.",Android,$2.99,Five Nights at Freddy's
20,"Become a conqueror, explorer and merchant and rule the island of Catan.",Android,$3.99,Catan Classic
21,"Take action, interact, and succeed in the breathtaking, cross-platform, 3D gamer-built reality. ",Android,Free,Roblox
22,Save your family and take control of the streets.,Android,$6.99,Grand Theft Auto: San Andreas
23,The Elder Scrolls: Legends is an award-winning free-to-play strategy card game.,Android,Free,The Elder Scrolls: Legends
24,"Riptide GP2 kicks everything into overdrive, with intense online multi-player races, upgradeable hydro jets and riders, improved graphics, an...",Android,$1.99,Riptide GP2
25,"Build your village, train your troops and battle with other players online.",Android,Free,Clash of Clans
26,Enjoy a new kind of Mario game that you can play with one hand.,Android,Free,Super Mario Run
27,Jump and fly your way through danger.,Android,$1.99,Geometry Dash
28,Master the awesome power of the Force on your quest to save the Republic.,Android,$3.99,Star Wars: KOTOR
29,Step into the world of shadows at the time of changes.,Android,Free,Shadow Fight 3
30,Manipulate impossible architecture and guide a silent princess through.,Android,$3.99,Monument Valley
31,"Challenge your intelligence, vocabulary, and ingenuity by the legendary competitive brain teaser.",Android,Free,Words With Friends 2 - Word Game
32,Start your own game development company in the 80s.,Android,$4.99,Game Dev Tycoon
33,From the creators of the award winner Kingdom Rush trilogy comes the most extraordinary space odyssey.,Android,$4.99,Iron Marines
34,Strike against obstacles with your dodging accomplices in the most daring chase.,Android,Free,Subway Surfers
