,Description,Platform,Price,Product
0,Use reliable and easy-to-deploy encrypted network connectivity from your iOS device.,iOS,Free,Cisco Legacy AnyConnect
1,"Get access to OpenVPN server, private tunnel and community.",iOS,Free,OpenVPN Connect
2,"VNC Viewer from RealVNC gives you instant remote access to your Mac, Windows and Linux computers from anywhere in the world.",iOS,Free,VNC Viewer - Remote Desktop
3,Enjoy the view of your network.,Android,Free,Fing - Network Tools
4,See what apps are slowing your phone's Internet connection or wasting your mobile data.,Android,Free,GlassWire Data Usage Security
5,Deliver multiple security services and access visibility control with a unified  business-critical connectivity.,Android,Free,AnyConnect
6,Turns your android phone into a Wi-Fi analyzer.,Android,Free,Wifi Analyzer
7,Browse privately on the internet.,Android,Free,VPN by Private Internet Access
8,Test your WiFi connection speed from your Android device.,Android,Free,Speedtest by Ookla
9,"Transfer files, access contacts and messages, and remote control your android device wirelessly.",Android,Free,AirDroid
10,"Establish instantly comprehensive, permanent, real-time remote access, control, and support through secure global network.",Android,Free,TeamViewer: Remote Control
11,What is openvpn connect?,Android,Free,OpenVPN Connect - Fast & Safe SSL VPN Client
12,Capture and analyze the traffic and protocols running on a computer network.,Windows,Free,Wireshark
13,Monitor and manage your network.,Android,Free,NETGEAR Genie
14,Protect your PC and your Online privacy with a powerful firewall from cyber attacks.,Windows,Free,ZoneAlarm Free Firewall
15,Protect from viruses and other types of malware with business-class technology tailored to your mobile.,iOS,Free to try,ZoneAlarm Mobile Security
16,Stay protected from viruses and malware with business-class technology built for smartphones.,Android,Free to try,ZoneAlarm Mobile Security
17,Arrange multiple computers into one secure network.,Mac,Free,LogMeIn Hamachi
18,Keep track of how much you use your network connection.,Windows,Free,BitMeter OS
19,Display a scrolling graph that shows how much data is going in and out of your Internet connection.,Mac,Free,BitMeter
20,SSL VPN solution,Windows,Purchase,OpenVPN GUI
21,Establish network with wide range of configurations.,Mac,Free,OpenVPN (OS X)
22,"Access all your programs, documents, and files from anywhere without using a cloud service.",Windows,Free,AnyDesk
23,Replace your Network Interface Card's Media Access Control (MAC) Address easily.,Windows,Free,Technitium MAC Address Changer
24,Monitor and manage your network and devices remotely.,Windows,Free,NETGEAR Genie
25,"Remote controls Mac or Windows PC over WiFi.Watch movies like a pro on Netflix, Youtube, Hulu, Vimeo or iTunes on your computer. Turn your iPhone,...",iOS,$1.99,Remote to Netflix
26,"300000 happy users!WOL (Wake On Lan), Shutdown, sleep, restart or hibernate your MAC or PC with one tap!Only app works both with MAC and PC Sleep,...",iOS,$1.99,iShutdown - remote power management tool for your Mac and PC
27,Connect your iOS device to the VPN service and bypass restrictions with private Internet surfing.,iOS,Free,hide.me VPN
28,"Access VOIP & Facebook, YouTube, Hulu, Skype, Instagram, SnapChat, Netflix smoothly.",iOS,Free,VPN Express - Free Mobile VPN
29,"Remote control your PC or Mac over the Web, stay connected no matter where you are.",Windows,Free,LogMeIn Free
30,Monitor your Internet activity with just a few clicks.  ,Windows,Free,Look@LAN Network Monitor
31,"Access your Mac or PC anywhere, including your iPad, iPhone or Android device.",Windows,Free to try,GoToMyPC
32,Connect automatically to free WiFi networks.,Windows,Free,WeFi
33,"Use pure ARP to detect IP/MAC address, and control/change mac, network usage.",Windows,Free,Netcut
34,Access Windows XP on your PSP.,Windows,Free,PspWxp
35,Share your Internet on your laptop over WiFi.,Windows,Free,Virtual WiFi Router
36,Make and receive Skype calls on your mobile device.,Windows,Free,iSkoot for Skype (BlackBerry)
37,Perform audits of all network software and hardware in a simple and effective way.,Windows,Free to try,Network Inventory Advisor
38,Turn your laptop or PC into a Wi-Fi hotspot.,Windows,Free,My WiFi Router
39,"Establish instantly comprehensive, permanent, real-time remote access, control, and support through secure global network.",Windows,Free,TeamViewer Portable
40,Emulate a variety of terminals with secure login and Secure Shell data-transfer capabilities.,Windows,Free to try,SecureCRT
41,Manage Internet cafe via your desktop.,Windows,Free,HandyCafe
42,Analyze Internet connection problems and locate IPs.,Windows,Free to try,VisualRoute 2010
43,Point out network problems and troubleshoot from a detailed picture of network traffic.,Windows,Free to try,CommView for WiFi
44,"Connect via Telnet, SSH, SSH2, SFTP, dialup, and serial using tabbed multisession terminal emulator.",Windows,Free to try,AbsoluteTelnet Telnet SSH and SFTP Client
45,Watch and log your network adapter's bandwidth usage.,Windows,Free to try,Bandwidth Monitor Pro
46,Find and connect to open wireless access points.,Windows,Free,Easy WiFi Radar
