,Description,Platform,Price,Product
0,"Crop, remove objects, retouch, combine photos, and reimagine the art of photography.",Windows,$9.99,Adobe Photoshop
1,Back up unlimited photos and videos for free up to 16MP and 1080p HD.,Windows,Free,Google Photos
2,Gain power and flexibility of transforming imagery into unique creations with sophisticated graphics manipulation package.,Windows,Free,GIMP
3,View and edit most graphics formats simply and quickly.,Windows,Free,IrfanView
4,"View, edit, print, or add frames to your photos.",Windows,Free,PhotoScape
5,"Perfect your photos with advanced controls, experiment in a nondestructive environment, organize and share anywhere.",Windows,Free to try,Adobe Photoshop Lightroom
6,Achieve some of the most challenging photo effects with ease and get them at lightning speed.,Windows,Free to try,Corel PaintShop Pro
7,"Choose among hundreds of effects, overlays, stickers, and borders, use familiar blending modes and add focus to your photos.",Windows,Free,Pixlr
8,"Search 50 million royalty-free, high-quality photos, videos, illustrations, and graphics. ",Windows,$29.99,Adobe Stock
9,Transfer photos and videos from your camera to your PC.,Windows,Free,Windows Live Photo Gallery
10,Process your digital photos and create slide shows for sharing.,Windows,Free,Photo Story 3 for Windows
11,Make any photo extraordinary.,Windows,Purchase,Snapseed
12,"Create screenshots of a selected region, window, or fullscreen, with annotations or highlighting.",Windows,Free,GreenShot
13,"Organize, edit, share, and backup your photos, and keep a lifetime's worth of memories up to date across your devices.",Mac,Free,Photos for macOS
14,"Crop, remove objects, retouch, combine photos, and reimagine the art of photography.",Mac,Free to try,Adobe Photoshop CC
15,"Touch up and enhance images, draw or paint, apply effects, or create advanced compositions with ease.",Mac,Free to try,Pixelmator
16,"Upload and safely store files from any folder on your computer, camera, and SD cards in the cloud. ",Mac,Free,Google Photos Backup and Sync
17,"Produce extraordinary icons, graphical design elements, and art for user interface components and mockups.",Mac,Free,GIMP
18,"Edit, organize, store, and share your photos across any device.",Mac,Free to try,Adobe Photoshop Lightroom CC
19,"Edit your images with flood fill, gradients, vector shapes, drawing and erasing tools, with a fluid interface similar to iLife.",Mac,Free to try,Acorn
20,"View, edit, print, or add frames to your photos.",Mac,Free,PhotoScape X
21,"Edit photos while adding filters or effects, create Youtube thumbnails, or design your social media posts.",Windows,Free,Pixlr Editor
22,"Shoot and edit your images with our superior mobile presets, film-inspired presets, and advanced camera controls.",Android,Free,VSCO
23,"Browse your photos and videos, organized by the people, places, and things that matter.",Android,Free,Google Photos
24,"Capture and share the world's moments, and customize your photos with filter effects.",Android,Free,Instagram
25,Make and remix pictures into collages and memes.,Android,Free,PicsArt Photo Studio: Collage Maker & Pic Editor
26,Send a photo or video Snap in seconds share the moment with friends and family.,Android,Free,Snapchat
27,"Apply various art filters and stunning effects to your photos, as you share them with your friends.",Android,Free,Prisma
28,Join millions of creators on Adobe Photoshop Express - a photo editor and collage maker on Android.,Android,Free,Adobe Photoshop Express:Photo Editor Collage Maker
29,"Capture any moment and edit with over two million combinations of free effects, overlays, and filters.",Android,Free,Pixlr - Free Photo Editor
30,"Let your inner artist free, create and share beautiful photos.",Android,Free,Fotor - Photo Effect Studio
31,"Enhance, transform, and share your photos easily.",Android,Free,Snapseed
32,"Show your selfie, express yourself, take a selfie and share it with Noah Camera.",Android,Free,Noah Camera
