,Description,Platform,Price,Product
0,Automate and simplify your online life.,Mac,Free,Dashlane Password Manager
1,"Secure your Mac, your privacy, and your passwords for free with this all-in-one security suite.",Mac,Free,Avira Free Antivirus
2,"Locate your missing iOS device on a map, remotely lock it, even erase all the data on it to prevent data theft.",iOS,Free,Find My iPhone
3,Keep your smartphone protected from Wi-Fi attacks and locate it in case of a loss.,iOS,Free,Lookout: Security and Identity Theft Protection
4,"Send and receive top-secret messages, pictures, videos, audios and files.",iOS,Free,Wickr Me - Private Secure Messenger
5,Simplify your digital life with logins and passwords securely stored.,iOS,Free,LastPass Password Manager
6,"Don't risk your private pictures, secret videos, or photo albums falling into the wrong hands or being deleted.",iOS,Free,Secret Photo Vault - Keepsafe
7,Turn your iOS device into a full-featured Web camera. ,iOS,Free,EpocCam Webcam for Mac and PC
8,"Watch over your home from anywhere, getting alerts when anyone rings your doorbell.",iOS,Free,Ring - Always Home
9,Remember only one master password for all your various accounts.,iOS,Free,Lock Password Manager safe App
10,"Dashlane is life-changingly great. And free. Get it. - David Pogue, The New York TimesDashlane's Password Manager and Digital Wallet offers the...",iOS,Free,Dashlane - Free Secure Password Manager & Digital Wallet
11,"Enhance your privacy, break through firewalls, and communicate more safely.",Android,Free,Orbot: Tor for Android
12,"Safeguard online privacy, secure devices, and go beyond essentials with cloud-light, state-of-the-art protection.",Android,Free,Avast Antivirus - Mobile Security & Virus Cleaner
13,Protect your personal information from being sent to the Internet without need for root permissions on your Android phone.,Android,Free,NoRoot Firewall
14,"Generate strong, unique passwords for every site and login with a tap.",Android,Free,1Password - Password Manager and Secure Wallet
15,Turn your Android phone into a wireless camera.,Android,$3.99,IP Webcam Pro
16,"Communicate instantly, chat in real time, and share media, all with complete privacy.",Android,Free,Signal Private Messenger
17,Control your home remotely with your Android phone.,Android,Free,Nest
18,DroidCam turns your Android device into a wireless webcam.,Android,Free,DroidCam Wireless Webcam
19,Neighborhood security starts here.,Android,Free,Ring - Always Home
20,Use a messaging app with a focus on speed and security.,Android,Free,Telegram
21,Browse privately on the internet.,Android,Free,VPN by Private Internet Access
22,Secure your data and anonymize your Internet.,Android,Free,ExpressVPN - Best Android VPN
23,"Cryptomator provides transparent, client-side encryption for your cloud files.",iOS,$8.99,Cryptomator
24,Access the Internet via VPN Gate Public VPN Relay Servers by volunteers.,Windows,Free,VPN Gate Client Plug-in with SoftEther VPN Client
25,"Detect and remove spyware, malware, rootkits, trojans, hijackers, and other malicious threats.",Windows,Free,SuperAntiSpyware Free Edition
26,Safeguard vulnerable day-to-day computer activity from a broad array of infesting potential cyber-threats.,Windows,Free,Adaware Antivirus Free
27,"Uncover hidden passwords in Windows applications, including Internet Explorer.",Windows,Free,Password Cracker
28,Connect to the Web without censorship or restrictions.,Windows,Free to try,Betternet
29,Search your hard disk and Registry for threats to your security and privacy.,Windows,Free,Spybot - Search & Destroy for Windows XP
30,Secure your connection to public Wi-Fi networks with premium VPN tool.,Windows,Free to try,Hotspot Shield Elite
31,Protect your PC and your Online privacy with a powerful firewall from cyber attacks.,Windows,Free,ZoneAlarm Free Firewall
32,Search and remove unwanted adware and toolbars from your computer.,Windows,Free,AdwCleaner
33,Protect your computer with Microsoft's latest security software.,Windows,Free,Microsoft Security Essentials
34,Scan your Registry and hard drive for spyware.,Windows,Free,Trend Micro HijackThis
35,Shield your computers from malicious virus disruption and speed up overall system performance.,Windows,Free to try,Advanced SystemCare Ultimate
36,Stop online threats without slowing down your PC.,Windows,Free to try,Norton Security Deluxe
37,Log in to Web sites and fill forms automatically.,Windows,Free,RoboForm
38,Prevent Spyware and Malware running from your PC.,Windows,Free,SpywareBlaster
