,Description,Platform,Price,Product
0,Clean and fix the registry of your computer and optimize its speed and performance.,Windows,Free,Glary Utilities
1,Keep your PC running smoothly with simple and advanced tools for all level of users.,Windows,Free,CCleaner
2,Uninstall and remove unwanted programs and software easily,Windows,Free,Revo Uninstaller
3,"Move, resize, copy, explore, and recover hard disk drive partitions.",Windows,Free,MiniTool Partition Wizard Free Edition
4,Access various information about your computer.,Windows,Free,CPU-Z
5,Monitor network activity and block potential threats with a powerful firewall.,Windows,Free,GlassWire
6,Save your eyes by making your display's brightness adapt to the time of day.,Windows,Free,f.lux
7,"Take full control over RAR and ZIP archives, along with unpacking a dozen other archive formats.",Windows,Free to try,WinRAR (64-bit)
8,Put your PC through one of the most comprehensive hardware and sofware benchmarks available.,Windows,Free,3DMark Basic Edition
9,Take screenshots of a selected area.,Windows,Free,LightShot
10,Archive files in different formats and manage them.,Windows,Free,7-Zip
11,Scan your hard drive or local devices for detailed disk usage statistics.,Windows,Free,WinDirStat
12,"Update device drivers, improve system compatibility, and boost gaming performance with one click. ",Windows,Free,Driver Booster
13,Install the latest operating system from Microsoft.,Windows,$119.00,Windows 10
14,Uninstall apps from your Mac and clean all their left-over files safely.,Mac,Free,AppCleaner
15,"Archive or extract a plethora of modern or old compression formats, like ZIP, TAR, SIT, RAR, and 7-Zip.",Mac,Free,The Unarchiver
16,Snap windows into position by dragging them to the edges and corners of your screen.,Mac,$0.99,Magnet
17,Use an iOS device as a second display for your machine using a Lightning or 30-pin cable.,Mac,Free,Duet Display
18,Preserve your data and the operating system's data impeccably on a bootable volume.,Mac,Free to try,Carbon Copy Cloner
19,Adapt your computer monitor colors to the time current time of the day.,Mac,Free,f.lux
20,"Keep your Mac, and optionally its display, awake while you need it to be.",Mac,Free,Amphetamine
21,"Create strong, unique passwords for all your accounts and login with a click.",Mac,Free,1Password
22,"Powerful general purpose text editor, and Unix and server administrator's tool.",Mac,Free,TextWrangler
23,Install Windows using Intel devices.,Mac,Free,Apple Boot Camp Support Software
24,Use abbreviations for frequently-used text strings and images.,Mac,Free to try,TextExpander
25,Convert brief clips from your video files into GIFs.,Mac,$4.99,GIF Brewery
26,"Open apps, files, and URLs via abbreviation.",Mac,Free to try,LaunchBar
27,"Monitor your computer, from memory usage to Bluetooth status.",Mac,Free to try,iStat Menus
28,Do more with the services you love and bring them together to create new experiences.,iOS,Free,IFTTT
29,"Locate your missing iOS device on a map, remotely lock it, even erase all the data on it to prevent data theft.",iOS,Free,Find My iPhone
30,Use your iPad or iPhone as an extra display to expand your Mac or PC's desktop.,iOS,$14.99,Duet Display
31,"Keep all your passwords and sensitive information in one place, securely.",iOS,Free,1Password - Password Manager and Secure Wallet
32,Sign documents anywhere or get anyone's signature with your iOS device.,iOS,Free,SignNow - Sign and Fill PDF & Word Documents
33,Control all your smart home accessories from all your Apple devices.,iOS,Free,Home app
34,Add an additional layer of security to the process of signing into your account.,iOS,Free,Google Authenticator
35,"Create forecasts for your precise location, giving you minute-by-minute predictions for next day and week.",iOS,$3.99,Dark Sky Weather
36,Create an expressive cartoon avatar and be yourself wherever you go.,iOS,Free,Bitmoji - Your Personal Emoji
37,Turn your iPhone into a digital scanner.,iOS,Free,QR Reader for iPhone
38,"Find quick answers, explore your interests, and get a feed of updates on what matters to you.",iOS,Free,Google - Search made just for mobile
39,Gboard is a new keyboard from Google for your iPhone.,iOS,Free,Gboard -- a new keyboard from Google
40,"Locate your phone, tablet, or watch, then lock it, erase, or show a message.",Android,Free,Google Find My Device
41,Do more with the services you love and bring them together to create new experiences.,Android,Free,IFTTT
42,"Manage your passwords, fill your forms, and store your data safely in the cloud.",Android,Free to try,LastPass Password Manager
43,See what apps are slowing your phone's Internet connection or wasting your mobile data.,Android,Free,GlassWire Data Usage Security
44,"Approve a purchase, close a sale, or sign an agreement with a legally-binding digital signature.",Android,Free,DocuSign
45,"Set up, manage, and control your Chromecast, Chromecast Audio and Google Home devices.",Android,Free,Google Home
46,"Transfer files, access contacts and messages, and remote control your android device wirelessly.",Android,Free,AirDroid
47,Type faster and more effectively with a keyboard program that learns your writing style.,Android,Free,SwiftKey Keyboard
48,Upgrade the launcher on your device to make Google Now one swipe away.,Android,Free,Google Now Launcher
49,"Generate strong, unique passwords for every site and login with a tap.",Android,Free,1Password - Password Manager and Secure Wallet
50,"Measure length, angle, distance, height, direction and sound with your device.",Android,$2.99,Smart Tools
51,Manage your hard drive partitions and improve their performance.,Windows,Free,EaseUS Partition Master Free Edition
52,Install the next Windows OS after Microsoft Vista.,Windows,$149.99,Windows 7 (Professional)
53,"Create screenshots of a selected region, window, or fullscreen, with annotations or highlighting.",Windows,Free,GreenShot
54,Show a PC audit in your browser with details on hardware and software.,Windows,Free,Belarc Advisor
55,Create a copy of your Windows ISO file on removable media.,Windows,Free,Windows USB/DVD Download Tool
56,Keep your Windows 7 PC on the latest support level.,Windows,Free,Microsoft Windows 7 Service Pack 1
57,Run more than one operating system at the same time on one computer.,Windows,Free,Windows Virtual PC (64-bit)
58,Service pack for Microsoft Windows XP.,Windows,Free,Microsoft Windows XP Service Pack 3 
59,Access any Web site privately and securely.,Android,Free,TunnelBear VPN
60,Type faster by sliding your finger from letter to letter.,Android,Free,Gboard - the Google Keyboard
61,Scan your installed programs and categorize them by their security update status.,Windows,Free,Secunia Personal Software Inspector
62,Protect your online privacy and secure your computer by cleaning unnecessary info.,Mac,Free,CCleaner
63,"Rediscover your best photos, shop faster and conveniently online, and even Siri makes its debut on the latest OS update for Mac.",Mac,Free,Apple MacOS Sierra
64,Play and stream Android games and apps on PC.,Windows,Free,BlueStacks App Player
65,"Download, update, back up, or restore Windows drivers and boost overall PC productivity.",Windows,Free,DriverMax
66,Emulate a physical CD/DVD drive virtually.,Windows,Free,Virtual CloneDrive
67,Find and fix incorrect or obsolete information in the Windows registry.,Windows,Free,Wise Registry Cleaner
68,Extract files from your RAR-archives with a support for spanned archives.,Windows,Free,Free RAR Extract Frog
69,Defragment your disks and improve computer performance and stability.,Windows,Free,Auslogics Disk Defrag
70,Clean and optimize your PC.,Windows,Free to try,TuneUp Utilities 2019
71,"Back up and restore photos, music, videos, documents, hard disk, and partitions.",Windows,Free,EaseUS Todo Backup Free
72,"Expand over 30 formats: StuffIt, Zip, RAR, 7z, tar, open encrypted segmented or split files easily.",Mac,Free,StuffIt Expander
73,Get the latest updates for Office 2010 and enhance your document management system.,Windows,Free,Microsoft Office 2010 Service Pack 2 (32-Bit)
74,Optimize your system performance and realize advanced hardware monitoring and diagnostics.,Windows,Free to try,Everest Ultimate Edition
75,Create a copy of your Windows ISO file on removable media.,Windows,Free,Windows USB/DVD Download Tool
76,"Boost your Windows system speed, boot time, application speeds, extend storage drive life.",Windows,Free to try,Diskeeper Professional
77,"Speed up, maintain, and protect your PC.",Windows,Free to try,Glary Utilities Pro
78,Protect your entire family's digital life.,Windows,Free to try,Norton Security Premium
79,Compress large files to share them online.,Windows,Free to try,StuffIt Deluxe x64
80,"Back up, restore, sync, and clone data.",Windows,Free,AOMEI Backupper Standard
81,Display information about programs and processes running on your computer.,Windows,Free to try,Security Task Manager
82,Back up and synchronize your important files automatically.,Windows,Free to try,GoodSync
83,Back up and restore your Windows system.,Windows,Free,Paragon Backup & Recovery Free 16 (64-bit)
84,Use joystick for playing Web games and controlling applications.,Windows,Free to try,JoyToKey
85,Synchronize your Windows Mobile-based device with a Windows powered desktop PC.,Windows,Free,Microsoft ActiveSync
86,Remove obsolete entries from your system registry.,Windows,Free,TweakNow RegCleaner
87,Optimize your Windows settings and improve overall system performance.,Windows,Free,WinUtilities Free Edition
88,Find and delete unwanted files on your hard disk.,Windows,Free to try,CleanCenter
89,Root your android device in one click.,Windows,Free,Kingo Android Root
90,Get an unlimited online backup for your computer.,Windows,Free to try,FullDataBackup
91,Update your mobile device to the latest version of the Android operating system.,Android,Free,Android 6.0 Marshmallow
92,"Emulate CD, DVD, BD and HDD drives.",Windows,Free to try,Daemon Tools Pro
93,Optimize your PC for smoother and more responsive gameing experience.,Windows,Free,Razer Cortex
94,Extract multiple archives with the ease of a single button.,Windows,Free,ExtractNow
